component_name,metaValue_peak_apex_int_l,metaValue_peak_apex_int_u,metaValue_logSN_l,metaValue_logSN_u,metaValue_total_width_l,metaValue_total_width_u,metaValue_width_at_50_l,metaValue_width_at_50_u,metaValue_tailing_factor_l,metaValue_tailing_factor_u,metaValue_asymmetry_factor_l,metaValue_asymmetry_factor_u,metaValue_baseline_delta_2_height_l,metaValue_baseline_delta_2_height_u,metaValue_points_across_baseline_l,metaValue_points_across_baseline_u,metaValue_points_across_half_height_l,metaValue_points_across_half_height_u,metaValue_logSN_l,metaValue_logSN_u,intensity_l,intensity_u,overall_quality_l,overall_quality_u
Aspartate,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Glutamate,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Cysteine,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Asparagine,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Serine,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Glutamine,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Histidine,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Glycine,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Threonine,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Arginine,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Alanine,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Tyrosine,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
2-aminobutyrate,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
GhostPeak,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Valine,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Methionine,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
Tryptophan,0,5.00E+06,1,1.00E+06,0.1,1,0.001,0.25,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+15,0,1.00E+12
